ime,višina (m),starost,povp. štartno mesto,povp. končno mesto,prevoženi krogi
Lewis Hamilton,1.74,40,4.4,3.7,20.570
Max Verstappen,1.80,27,5.2,3.6,11.648
Sebastian Vettel,1.75,37,6.3,5.3,16.427
Fernando Alonso,1.71,43,8.7,6.5,22.076
Kimi Räikkönen,1.75,45,7.7,6.2,18.620
Valtteri Bottas,1.72,35,8.0,7.9,13.863
Sergio Pérez,1.75,35,9.9,8.0,15.491
Nico Rosberg,1.78,39,6.9,6.4,11.159
Michael Schumacher,1.77,56,4.9,3.7,16.746
Charles Leclerc,1.80,27,6.4,5.6,8.284
Daniel Ricciardo,1.79,35,10.0,8.8,14.132
Carlos Sainz,1.78,30,8.8,7.4,11.384
Jenson Button,1.82,45,10.0,7.5,16.276
Felipe Massa,1.66,44,8.5,7.3,14.854
Lando Norris,1.75,25,7.1,6.7,7.632
Mark Webber,1.84,48,8.3,6.6,10.978
George Russell,1.88,27,10.1,9.1,7.480
Alain Prost,1.65,70,4.1,3.0,10.540
Rubens Barrichello,1.72,52,8.9,7.1,16.642
Ayrton Senna,1.75,34,3.1,3.1,8.236
Nico Hülkenberg,1.84,37,10.9,10.4,12.186
David Coulthard,1.82,54,7.7,5.8,12.394
Oscar Piastri,1.78,24,6.8,6.6,2.959
Nelson Piquet,1.73,72,6.6,4.2,9.872
Nigel Mansell,1.80,71,6.3,3.9,8.750
Esteban Ocon,1.86,28,11.8,10.1,8.617
Pierre Gasly,1.72,29,11.2,10.2,8.445
Niki Lauda,1.71,70,8.3,4.0,8.217
Mika Häkkinen,1.79,56,7.1,4.4,7.720
Romain Grosjean,1.80,39,11.8,10.9,8.852
Gerhard Berger,1.85,65,6.4,5.1,9.793
Jackie Stewart,1.73,85,4.5,3.0,5.225
Damon Hill,1.82,64,5.8,4.5,5.847
Ralf Schumacher,1.78,49,7.8,6.3,9.166
Carlos Reutemann,1.79,79,7.1,5.2,6.986
Juan Pablo Montoya,1.68,49,5.4,4.2,4.918
Lance Stroll,1.82,26,13.7,11.4,9.360
